,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,mys shmidta,51,RU,1564878692,91,56.54,89.31,288.0,1.1
1,bengkulu,51,RU,1564878692,91,56.54,89.31,288.0,1.1
2,inuvik,51,RU,1564878692,91,56.54,89.31,288.0,1.1
3,nishihara,51,RU,1564878692,91,56.54,89.31,288.0,1.1
4,dunedin,51,RU,1564878692,91,56.54,89.31,288.0,1.1
5,tasiilaq,51,RU,1564878692,91,56.54,89.31,288.0,1.1
6,kloulklubed,51,RU,1564878692,91,56.54,89.31,288.0,1.1
7,albany,51,RU,1564878692,91,56.54,89.31,288.0,1.1
8,ushuaia,51,RU,1564878692,91,56.54,89.31,288.0,1.1
9,port alfred,51,RU,1564878692,91,56.54,89.31,288.0,1.1
10,ikungi,51,RU,1564878692,91,56.54,89.31,288.0,1.1
11,vylgort,51,RU,1564878693,91,56.54,89.31,288.0,1.1
12,mar del plata,51,RU,1564878693,91,56.54,89.31,288.0,1.1
13,katsuura,51,RU,1564878693,91,56.54,89.31,288.0,1.1
14,cape town,51,RU,1564878693,91,56.54,89.31,288.0,1.1
15,kyabe,51,RU,1564878693,91,56.54,89.31,288.0,1.1
16,yomou,51,RU,1564878693,91,56.54,89.31,288.0,1.1
17,awbari,51,RU,1564878693,91,56.54,89.31,288.0,1.1
18,belushya guba,51,RU,1564878693,91,56.54,89.31,288.0,1.1
19,constitucion,51,RU,1564878693,91,56.54,89.31,288.0,1.1
20,castro,51,RU,1564878693,91,56.54,89.31,288.0,1.1
21,tautira,51,RU,1564878693,91,56.54,89.31,288.0,1.1
22,samusu,51,RU,1564878640,91,56.54,89.31,288.0,1.1
23,flinders,51,RU,1564878640,91,56.54,89.31,288.0,1.1
24,rikitea,51,RU,1564878640,91,56.54,89.31,288.0,1.1
25,mongoumba,51,RU,1564878640,91,56.54,89.31,288.0,1.1
26,vao,51,RU,1564878640,91,56.54,89.31,288.0,1.1
27,qaanaaq,51,RU,1564878640,91,56.54,89.31,288.0,1.1
28,cabo san lucas,51,RU,1564878640,91,56.54,89.31,288.0,1.1
29,maxixe,51,RU,1564878640,91,56.54,89.31,288.0,1.1
30,kyzyl,51,RU,1564878640,91,56.54,89.31,288.0,1.1
31,dovolnoye,51,RU,1564878640,91,56.54,89.31,288.0,1.1
32,tessalit,51,RU,1564878640,91,56.54,89.31,288.0,1.1
33,prado,51,RU,1564878640,91,56.54,89.31,288.0,1.1
34,okhotsk,51,RU,1564878640,91,56.54,89.31,288.0,1.1
35,pisco,51,RU,1564878640,91,56.54,89.31,288.0,1.1
36,busselton,51,RU,1564878640,91,56.54,89.31,288.0,1.1
37,lagoa,51,RU,1564878640,91,56.54,89.31,288.0,1.1
38,pangody,51,RU,1564878640,91,56.54,89.31,288.0,1.1
39,marcona,51,RU,1564878640,91,56.54,89.31,288.0,1.1
40,saskylakh,51,RU,1564878640,91,56.54,89.31,288.0,1.1
41,bluff,51,RU,1564878640,91,56.54,89.31,288.0,1.1
42,new norfolk,51,RU,1564878640,91,56.54,89.31,288.0,1.1
43,fortuna foothills,51,RU,1564878640,91,56.54,89.31,288.0,1.1
44,avarua,51,RU,1564878640,91,56.54,89.31,288.0,1.1
45,kruisfontein,51,RU,1564878640,91,56.54,89.31,288.0,1.1
46,codrington,51,RU,1564878640,91,56.54,89.31,288.0,1.1
47,batagay-alyta,51,RU,1564878640,91,56.54,89.31,288.0,1.1
48,vaini,51,RU,1564878640,91,56.54,89.31,288.0,1.1
49,te anau,51,RU,1564878640,91,56.54,89.31,288.0,1.1
50,palmer,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
51,xadani,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
52,vaitupu,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
53,harlingen,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
54,taolanaro,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
55,sechura,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
56,punta arenas,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
57,avera,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
58,butaritari,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
59,hermanus,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
60,bredasdorp,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
61,vila,0,AU,1564878598,66,-34.85,139.16,285.37,4.6
